MTW > 40 GeV:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1444	1187	1186	1185	564	442	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3447654|	7|	88.6744|	0.057625 (0.976886, 3.01659, 1.11639) |	69.6683|	39.3754|	30.783|	71.0324|	|	
1|	3447683|	7|	70.2425|	0.0428628 (0, 2.13938, 0.871416) |	53.6068|	32.1108|	48.2892|	78.8811|	|	
1|	3447713|	7|	41.9637|	0.0184972 (0.776209, 0, 0) |	69.1281|	65.0732|	47.5959|	65.0797|	|	
1|	3447728|	7|	70.5568|	0.0229872 (1.2182, 0.403706, 0) |	136.758|	43.7442|	74.2451|	57.3695|	|	
1|	3447783|	7|	23.8092|	0.135057 (0, 1.09483, 2.12075) |	45.4625|	44.6651|	93.2925|	81.1772|	|	
1|	3447924|	7|	20.9999|	0.0119399 (0, 0.250735, 0) |	51.6227|	33.2656|	71.7417|	68.6642|	|	
1|	3447945|	7|	51.2214|	0.0396375 (1.44697, 0, 0.583322) |	57.6774|	54.5445|	42.3479|	46.7142|	|	
1|	3447949|	7|	63.3695|	0 (0, 0, 0) |	77.4479|	61.4161|	24.4629|	66.8831|	|	
1|	3447955|	7|	28.6613|	0.0397635 (1.13967, 0, 0) |	97.1997|	42.8877|	83.435|	86.2238|	|	
1|	3447965|	7|	56.4648|	0.00818312 (0, 0.462058, 0) |	67.3988|	32.9644|	44.2377|	98.6766|	|	
1|	3447967|	7|	27.0165|	0.0227251 (0.613952, 0, 0) |	85.6359|	45.8856|	98.4012|	96.0487|	|	
1|	3448007|	7|	53.8666|	0.0182643 (0, 0.983834, 0) |	71.0114|	48.6474|	45.8078|	68.4932|	|	
1|	3075615|	7|	70.7145|	0.0181449 (0, 1.28311, 0) |	83.6691|	56.5225|	32.9729|	85.712|	|	
1|	3075688|	7|	32.4821|	0.05312 (1.37755, 0.347899, 0) |	110.002|	39.0759|	117.704|	68.0463|	|	
1|	3075710|	7|	43.8499|	0.0549469 (0, 1.78259, 0.62683) |	93.9516|	34.1224|	57.3331|	62.6158|	|	
1|	3075865|	7|	49.3187|	0.01927 (0, 0.950372, 0) |	51.0716|	38.8361|	18.8574|	46.4795|	|	
1|	3075869|	7|	53.9149|	0.0687889 (0.91441, 2.79434, 0) |	82.1483|	50.409|	11.3938|	44.9135|	|	
1|	3075883|	7|	77.5499|	0.0222392 (0, 0.226391, 1.49826) |	81.1128|	44.244|	15.8828|	46.3473|	|	
1|	3075921|	7|	58.9116|	0.0366461 (1.7985, 0.360375, 0) |	55.0859|	32.7229|	48.0289|	106.234|	|	
1|	3076011|	7|	53.9673|	0.11838 (1.52188, 4.86678, 0) |	54.5069|	47.7382|	64.845|	118.27|	|	
1|	3076030|	7|	43.9431|	0.0350883 (0, 1.54189, 0) |	72.3193|	35.9095|	51.3409|	86.879|	|	
1|	3076055|	7|	59.067|	0.0748493 (0.684123, 1.48868, 2.24832) |	127.056|	125.6|	45.8924|	84.8768|	|	
1|	3076064|	7|	35.405|	0.0505949 (0, 1.79131, 0) |	133.356|	97.3734|	49.2518|	82.0959|	|	
1|	3076167|	7|	48.2837|	0.0433679 (1.49043, 0.603528, 0) |	65.3654|	60.4758|	42.7914|	87.3646|	|	
1|	3076238|	7|	72.1928|	0.0678331 (1.35114, 3.54592, 0) |	82.386|	68.434|	18.5399|	69.2754|	|	
1|	3349958|	7|	53.4974|	0 (0, 0, 0) |	36.764|	36.4914|	45.7702|	57.1179|	|	
1|	3350031|	7|	68.6483|	0.0587414 (2.40597, 0.738006, 0.88852) |	51.2806|	40.8924|	52.4753|	118.882|	|	
1|	3350214|	7|	77.6724|	0.0271205 (0, 2.10652, 0) |	91.1404|	71.5247|	38.9755|	107.234|	|	
1|	3350243|	7|	57.7134|	0.0449762 (0, 2.59573, 0) |	68.2654|	43.5458|	37.4947|	45.9251|	|	
1|	3350279|	7|	27.9549|	0.0858379 (1.67315, 0, 0.726439) |	113.49|	59.3952|	87.8526|	78.333|	|	
1|	3350282|	7|	26.2791|	0 (0, 0, 0) |	86.7519|	83.7285|	57.5251|	68.1531|	|	
1|	3350337|	7|	35.561|	0.0449268 (0.916195, 0.68145, 0) |	38.1783|	33.3678|	30.6087|	65.4371|	|	
1|	3350376|	7|	54.6623|	0.0312082 (0, 1.70591, 0) |	105.025|	100.845|	39.7085|	91.0594|	|	
1|	3350377|	7|	50.0639|	0.0111997 (0, 0, 0.560701) |	55.8106|	53.7924|	33.3406|	76.6846|	|	
1|	3350403|	7|	43.5065|	0.0192565 (0, 0.837781, 0) |	67.456|	39.1605|	20.8102|	58.2963|	|	
