Exactly one tagged jet, d_{TCHP} > 3.41:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	441	183
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	2766755|	6|	41.2144|	0.0146302 (0.602974, 0, 0) |	74.4903|	34.2984|	28.4709|	57.5222|	9.03702|	
1|	2766793|	6|	26.9793|	0.0562087 (0.851353, 0.665119, 0) |	113.444|	50.3807|	98.9329|	76.0433|	4.50622|	
1|	2614152|	6|	39.1366|	0.0948684 (1.9554, 1.2466, 0.510828) |	67.8092|	39.6345|	57.5119|	71.3125|	7.06088|	
1|	2614157|	6|	30.9108|	0.0252056 (0, 0.779124, 0) |	130.966|	111.887|	29.7053|	60.6002|	6.6132|	
1|	2614228|	6|	28.7981|	0.0283273 (0, 0.815771, 0) |	46.3194|	41.0508|	37.625|	49.626|	4.57893|	
1|	2614268|	6|	24.8444|	0 (0, 0, 0) |	58.7525|	45.312|	47.9335|	68.8457|	4.86135|	
1|	2614400|	6|	56.6841|	0 (0, 0, 0) |	64.4586|	49.2458|	70.162|	77.0795|	8.03017|	
1|	2614478|	6|	54.5805|	0.0680862 (0, 1.10342, 2.61276) |	104.819|	31.6242|	51.9946|	70.4128|	44.2223|	
1|	2687557|	6|	23.7338|	0.0617184 (0, 1.46481, 0) |	90.3126|	56.6934|	37.9186|	55.4448|	5.43538|	
1|	2687823|	6|	41.984|	0.0467708 (1.31547, 0.648157, 0) |	112.905|	89.201|	37.6192|	72.6638|	14.9397|	
1|	2687831|	6|	26.9081|	0.0364847 (0.771144, 0.21059, 0) |	86.8142|	70.0155|	61.2092|	79.4449|	3.72144|	
1|	2687849|	6|	49.2545|	0.0910154 (0.699989, 3.78293, 0) |	65.0232|	43.4276|	35.9607|	84.1583|	7.83015|	
1|	2687884|	6|	26.8991|	0.136843 (0.845901, 1.88665, 0.948402) |	53.9819|	34.0752|	77.9754|	89.637|	7.13061|	
1|	2687897|	6|	40.1502|	0.0312542 (0, 1.25486, 0) |	97.0769|	82.0988|	47.4485|	87.0662|	3.78617|	
1|	2687925|	6|	28.8462|	0.0468522 (0, 0.560776, 0.790733) |	327.583|	225.137|	105.217|	77.1448|	12.2495|	
1|	3868187|	8|	51.3307|	0.00513984 (0, 0.263831, 0) |	58.2987|	39.1581|	55.218|	69.7725|	8.05163|	
1|	3868223|	8|	23.4768|	0.0755269 (0, 0.517042, 1.25609) |	104.404|	44.7386|	107.186|	89.5328|	3.65492|	
1|	3868388|	8|	79.8856|	0.0131879 (0, 1.05353, 0) |	158.787|	52.6447|	18.8088|	55.9667|	7.27218|	
1|	3868686|	8|	29.3246|	0.0242584 (0, 0, 0.711366) |	51.4404|	42.8651|	63.7043|	45.3325|	4.82809|	
1|	3868688|	8|	88.6742|	0 (0, 0, 0) |	210.421|	31.7295|	144.701|	58.3125|	5.20437|	
1|	3868736|	8|	35.7837|	0.024472 (0, 0.8757, 0) |	52.2633|	47.7357|	30.5236|	43.4826|	7.73191|	
1|	3868783|	8|	78.0557|	0.0244539 (0, 1.90877, 0) |	105.452|	33.9851|	22.5051|	72.527|	6.47599|	
1|	3816240|	8|	86.1431|	0.00627173 (0, 0.540266, 0) |	125.662|	92.6571|	24.0473|	67.0546|	5.42623|	
1|	3816262|	8|	36.2426|	0 (0, 0, 0) |	59.4346|	42.6132|	30.5414|	47.8263|	9.3309|	
1|	3816276|	8|	52.2042|	0 (0, 0, 0) |	93.7219|	52.3244|	22.1332|	58.1843|	9.88757|	
1|	3816403|	8|	27.2717|	0.126534 (0.946607, 1.86057, 0.643621) |	79.2556|	75.265|	63.8004|	82.9302|	12.4607|	
1|	3816411|	8|	40.9345|	0.0722265 (0, 2.95656, 0) |	67.986|	61.3912|	39.1501|	78.8562|	6.06982|	
