Exactly one tight muon:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	0	0	0	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	165264|	1|	33.1596|	0.120791 (1.90185, 1.16646, 0.937081) |	|	|				
1|	165324|	1|	46.7385|	0.0427635 (0, 1.4592, 0.539504) |	|	|				
1|	165329|	1|	41.4323|	0 (0, 0, 0) |	|	|				
1|	165331|	1|	26.5834|	0.02504 (0, 0.665647, 0) |	|	|				
1|	165357|	1|	26.1785|	0.0139297 (0, 0.364659, 0) |	|	|				
1|	165360|	1|	28.659|	0.0422458 (0, 1.21072, 0) |	|	|				
1|	165373|	1|	24.3556|	0.0259352 (0, 0.631668, 0) |	|	|				
1|	165391|	1|	32.4774|	0.0817674 (0, 1.82608, 0.829518) |	|	|				
1|	165412|	1|	33.8888|	0 (0, 0, 0) |	|	|				
1|	165439|	1|	93.7794|	0 (0, 0, 0) |	|	|				
1|	165443|	1|	58.9053|	0.00158632 (0, 0.0934427, 0) |	|	|				
1|	165478|	1|	21.7324|	0.0853745 (0, 0.563975, 1.29142) |	|	|				
1|	165489|	1|	22.6186|	0.104953 (0, 1.8024, 0.57149) |	|	|				
1|	165498|	1|	21.3083|	0.0170688 (0, 0.363707, 0) |	|	|				
1|	165520|	1|	31.0576|	0.0269947 (0, 0.83839, 0) |	|	|				
1|	165587|	1|	84.2006|	0.020811 (0, 0.825909, 0.926387) |	|	|				
1|	165612|	1|	25.6579|	0 (0, 0, 0) |	|	|				
1|	165637|	1|	33.0392|	0.0190242 (0, 0.628545, 0) |	|	|				
1|	165666|	1|	71.0963|	0.0117307 (0, 0, 0.834008) |	|	|				
1|	165667|	1|	50.9662|	0.0404257 (0.957624, 0.331695, 0.77103) |	|	|				
1|	165679|	1|	56.2848|	0.0554506 (2.33085, 0, 0.790179) |	|	|				
1|	165700|	1|	21.2721|	0.0946759 (0.801593, 1.21236, 0) |	|	|				
1|	1318954|	3|	38.0487|	0.0459854 (0.99497, 0, 0.754716) |	|	|				
1|	1318966|	3|	40.1849|	0.0573806 (0.796917, 0, 1.50892) |	|	|				
1|	1318977|	3|	34.5286|	0.0958643 (1.38035, 1.92972, 0) |	|	|				
1|	1318988|	3|	31.3051|	0.090135 (0.970887, 1.8508, 0) |	|	|				
1|	1318995|	3|	22.7825|	0.0510209 (0, 0.647769, 0.514615) |	|	|				
1|	1318997|	3|	76.8899|	0.0220989 (0, 0.671196, 1.02798) |	|	|				
1|	1319007|	3|	29.2967|	0.119781 (0, 1.42275, 2.08644) |	|	|				
1|	1319012|	3|	21.5647|	0.0258943 (0, 0, 0.558403) |	|	|				
1|	1319020|	3|	41.6251|	0.100616 (0.635513, 2.89102, 0.661598) |	|	|				
1|	1319038|	3|	24.7471|	0.0932869 (0, 2.30858, 0) |	|	|				
1|	1319039|	3|	35.8914|	0.0368032 (0, 0.581666, 0.739251) |	|	|				
1|	1319056|	3|	47.0042|	0 (0, 0, 0) |	|	|				
1|	1319083|	3|	47.7763|	0.01324 (0, 0.632559, 0) |	|	|				
1|	1319086|	3|	37.4438|	0.0218956 (0, 0.819852, 0) |	|	|				
1|	1319092|	3|	86.0247|	0.00770068 (0, 0.662449, 0) |	|	|				
1|	1319114|	3|	51.4598|	0.0898513 (0, 3.91829, 0.70544) |	|	|				
1|	1319136|	3|	58.7194|	0.0881213 (2.70592, 2.46851, 0) |	|	|				
1|	1319165|	3|	78.3133|	0.0772197 (4.40331, 1.64403, 0) |	|	|				
1|	1319179|	3|	28.0261|	0.0131047 (0, 0.367273, 0) |	|	|				
1|	1319278|	3|	31.2236|	0 (0, 0, 0) |	|	|				
1|	1319297|	3|	58.507|	0 (0, 0, 0) |	|	|				
1|	1319327|	3|	56.7129|	0.0431977 (0, 2.44987, 0) |	|	|				
1|	1319329|	3|	38.815|	0.0202012 (0, 0.78411, 0) |	|	|				
1|	1319335|	3|	23.3743|	0.0411139 (0.961009, 0, 0) |	|	|				
1|	1319346|	3|	79.3426|	0.0264779 (0, 0.50748, 1.59335) |	|	|				
1|	1319368|	3|	66.7185|	0 (0, 0, 0) |	|	|				
1|	1319387|	3|	27.6648|	0.111073 (1.5683, 0.932475, 0.572036) |	|	|				
1|	1319393|	3|	96.199|	0.0119731 (1.1518, 0, 0) |	|	|				
1|	1319410|	3|	40.6419|	0.0292449 (0, 0, 1.18857) |	|	|				
1|	1319421|	3|	31.706|	0.0860612 (1.66438, 1.06428, 0) |	|	|				
1|	1319438|	3|	24.7538|	0.0400031 (0, 0.990227, 0) |	|	|				
1|	1319446|	3|	23.8456|	0 (0, 0, 0) |	|	|				
1|	1319461|	3|	79.1056|	0.0625564 (1.2684, 2.50036, 1.1798) |	|	|				
1|	1319475|	3|	25.9605|	0.138554 (0, 2.15855, 1.43838) |	|	|				
1|	1319486|	3|	27.4352|	0.0960508 (0, 2.63517, 0) |	|	|				
1|	1319501|	3|	21.7893|	0.0211144 (0, 0.460067, 0) |	|	|				
1|	1319513|	3|	50.2041|	0.00624901 (0, 0.313726, 0) |	|	|				
1|	1319523|	3|	20.548|	0.0726935 (0.74901, 0.744694, 0) |	|	|				
1|	1319547|	3|	45.3324|	0.0403769 (0, 0.763674, 1.06671) |	|	|				
1|	1071923|	3|	46.7488|	0 (0, 0, 0) |	|	|				
1|	1071927|	3|	21.4823|	0.120868 (0, 1.2969, 1.29961) |	|	|				
1|	1071928|	3|	21.0942|	0.0357337 (0, 0.753773, 0) |	|	|				
1|	1071953|	3|	149.628|	0.0271715 (0, 2.2755, 1.79012) |	|	|				
1|	1071954|	3|	36.1035|	0.0443776 (0.544488, 0.275963, 0.781736) |	|	|				
1|	1071960|	3|	40.1161|	0.0219231 (0, 0.879469, 0) |	|	|				
1|	1072007|	3|	39.0591|	0.00283753 (0, 0.110831, 0) |	|	|				
1|	1072010|	3|	67.6922|	0 (0, 0, 0) |	|	|				
1|	1072035|	3|	48.7039|	0.0638 (2.51038, 0.596934, 0) |	|	|				
1|	1072060|	3|	35.4103|	0 (0, 0, 0) |	|	|				
1|	1072129|	3|	66.1057|	0.0176316 (0, 0, 1.16555) |	|	|				
1|	1072137|	3|	45.5715|	0.0759479 (2.60256, 0.204607, 0.653896) |	|	|				
1|	1072151|	3|	59.0055|	0.0176017 (0, 0.490031, 0.548567) |	|	|				
1|	1072159|	3|	60.5418|	0.0491846 (0.583755, 0.43433, 1.95964) |	|	|				
1|	1072216|	3|	42.2223|	0.139278 (3.84371, 2.03691, 0) |	|	|				
1|	1072218|	3|	43.6462|	0.00821342 (0, 0.358485, 0) |	|	|				
1|	1072267|	3|	45.7305|	0.119724 (1.37074, 2.37002, 1.7343) |	|	|				
1|	1072277|	3|	29.6404|	0.0771825 (0, 1.42384, 0.863881) |	|	|				
1|	1072281|	3|	56.1161|	0.0981639 (2.46976, 1.76131, 1.2775) |	|	|				
1|	1072287|	3|	138.055|	0.0106989 (0, 0, 1.47704) |	|	|				
1|	1072292|	3|	35.2194|	0 (0, 0, 0) |	|	|				
1|	1072294|	3|	33.59|	0.088168 (0.985095, 1.97646, 0) |	|	|				
1|	1072312|	3|	25.8771|	0.0526693 (0.689782, 0, 0.673146) |	|	|				
1|	1072335|	3|	41.4043|	0 (0, 0, 0) |	|	|				
1|	1072344|	3|	48.1381|	0 (0, 0, 0) |	|	|				
1|	1072352|	3|	51.5773|	0.0252992 (0, 0, 1.30487) |	|	|				
1|	1072367|	3|	70.0702|	0.0880958 (3.11954, 2.46954, 0.583819) |	|	|				
1|	1072370|	3|	50.8001|	0.0213031 (0, 1.0822, 0) |	|	|				
1|	1072393|	3|	28.7543|	0.0109156 (0, 0.313872, 0) |	|	|				
1|	1072433|	3|	37.6685|	0.0170627 (0, 0, 0.642728) |	|	|				
1|	1072437|	3|	44.5371|	0 (0, 0, 0) |	|	|				
1|	1072444|	3|	26.7808|	0.0297995 (0, 0.221699, 0.576355) |	|	|				
1|	1072446|	3|	46.541|	0.0138674 (0.645402, 0, 0) |	|	|				
1|	1072467|	3|	45.7886|	0.01759 (0, 0.805419, 0) |	|	|				
1|	1072473|	3|	33.652|	0.0748129 (0.656005, 0.826807, 1.03479) |	|	|				
1|	1072477|	3|	77.5107|	0.00103228 (0, 0.0800129, 0) |	|	|				
1|	1072482|	3|	85.5294|	0.00929745 (0.795205, 0, 0) |	|	|				
1|	1072485|	3|	55.262|	0.0473725 (0, 1.24198, 1.37592) |	|	|				
1|	1072501|	3|	34.4459|	0.0146618 (0, 0.505038, 0) |	|	|				
1|	1072509|	3|	23.1182|	0 (0, 0, 0) |	|	|				
1|	1072517|	3|	90.5871|	0.0184426 (0, 0.285584, 1.38508) |	|	|				
1|	1072522|	3|	26.1848|	0.0879676 (0, 1.61221, 0.691202) |	|	|				
