Exactly two selected jets:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	3076030|	7|	43.9431|	0.0350883 (0, 1.54189, 0) |	72.3193|	35.9095|	|	|	|	
1|	3076055|	7|	59.067|	0.0748493 (0.684123, 1.48868, 2.24832) |	127.056|	125.6|	|	|	|	
1|	3076064|	7|	35.405|	0.0505949 (0, 1.79131, 0) |	133.356|	97.3734|	|	|	|	
1|	3076110|	7|	28.4981|	0.0240993 (0, 0.686783, 0) |	91.1002|	69.455|	|	|	|	
1|	3076167|	7|	48.2837|	0.0433679 (1.49043, 0.603528, 0) |	65.3654|	60.4758|	|	|	|	
1|	3076238|	7|	72.1928|	0.0678331 (1.35114, 3.54592, 0) |	82.386|	68.434|	|	|	|	
1|	3076249|	7|	47.4523|	0.028634 (1.00197, 0.356774, 0) |	58.8278|	49.7821|	|	|	|	
1|	3349958|	7|	53.4974|	0 (0, 0, 0) |	36.764|	36.4914|	|	|	|	
1|	3349989|	7|	35.2301|	0 (0, 0, 0) |	88.4921|	57.0251|	|	|	|	
1|	3350031|	7|	68.6483|	0.0587414 (2.40597, 0.738006, 0.88852) |	51.2806|	40.8924|	|	|	|	
1|	3350123|	7|	46.6848|	0.0286708 (0, 0, 1.33849) |	64.0357|	61.4018|	|	|	|	
1|	3350211|	7|	35.3622|	0.040765 (0, 0.701526, 0.740014) |	48.4525|	42.9194|	|	|	|	
1|	3350214|	7|	77.6724|	0.0271205 (0, 2.10652, 0) |	91.1404|	71.5247|	|	|	|	
1|	3350243|	7|	57.7134|	0.0449762 (0, 2.59573, 0) |	68.2654|	43.5458|	|	|	|	
