 ==  = 
|    Run |             SelectedLS |     Recorded |           HLTpath |              L1bit |    Effective |
| 163796 |       [1-66], [69-70], |   2.692(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |   2.692(/pb) |
|        |      [72-73], [77-82], |              |                   |                    |              |
|        |   [89-111], [118-135], |              |                   |                    |              |
|        |              [144-182] |              |                   |                    |              |
| 163817 |   [50-127], [131-131], |  12.219(/pb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) |  12.219(/pb) |
|        |  [137-140], [154-205], |              |                   |                    |              |
|        |  [216-295], [305-346], |              |                   |                    |              |
|        |  [358-414], [417-418], |              |                   |                    |              |
|        |  [423-457], [561-600], |              |                   |                    |              |
|        |  [603-603], [618-632], |              |                   |                    |              |
|        |  [635-636], [639-648], |              |                   |                    |              |
|        |  [657-698], [707-724], |              |                   |                    |              |
|        |  [733-860], [865-894], |              |                   |                    |              |
|        |              [897-965] |              |                   |                    |              |
| 163869 |    [79-91], [100-101], | 301.761(/nb) | HLT_IsoMu17_v6(1) | "L1_SingleMu10"(1) | 301.761(/nb) |
|        |              [118-122] |              |                   |                    |              |

 ==  =  Total : 
|        HLTPath | SelectedLS |     Recorded |    Effective |
-------------------------------------------------------------
| HLT_IsoMu17_v5 |      10707 | 210.946(/pb) |  46.957(/pb) |
| HLT_IsoMu17_v6 |      16328 | 210.946(/pb) | 163.989(/pb) |

